video,frame_id,timestamp,class,confidence,x1,y1,x2,y2
monkeyeating,5,00:00:00,monkey,0.708,7,3,720,1276
monkeyeating,6,00:00:00,monkey,0.698,0,0,720,1259
monkeyeating,7,00:00:00,monkey,0.509,0,30,575,1253
monkeyeating,8,00:00:00,monkey,0.654,7,144,533,1273
monkeyeating,9,00:00:00,monkey,0.609,17,113,720,1280
monkeyeating,10,00:00:00,monkey,0.68,40,113,720,1280
monkeyeating,10,00:00:00,monkey,0.575,49,129,558,1256
monkeyeating,11,00:00:00,monkey,0.731,44,113,703,1280
monkeyeating,12,00:00:00,monkey,0.758,27,107,718,1280
monkeyeating,13,00:00:00,monkey,0.627,0,64,720,1276
monkeyeating,14,00:00:00,monkey,0.608,0,69,720,1280
monkeyeating,15,00:00:00,monkey,0.674,0,53,555,1262
monkeyeating,16,00:00:00,monkey,0.73,0,105,538,1271
monkeyeating,17,00:00:00,monkey,0.686,24,104,698,1280
monkeyeating,17,00:00:00,monkey,0.573,0,135,547,1064
monkeyeating,18,00:00:00,monkey,0.69,43,107,720,1280
monkeyeating,18,00:00:00,monkey,0.62,5,128,568,1250
monkeyeating,19,00:00:00,monkey,0.717,48,106,720,1280
monkeyeating,20,00:00:00,monkey,0.751,57,110,720,1280
monkeyeating,21,00:00:00,monkey,0.749,61,108,720,1280
monkeyeating,22,00:00:00,monkey,0.727,50,102,720,1280
monkeyeating,23,00:00:00,monkey,0.701,55,89,720,1280
monkeyeating,24,00:00:00,monkey,0.782,57,96,720,1280
monkeyeating,25,00:00:01,monkey,0.806,51,96,720,1280
monkeyeating,26,00:00:01,monkey,0.821,46,96,720,1280
monkeyeating,27,00:00:01,monkey,0.777,48,95,720,1279
monkeyeating,28,00:00:01,monkey,0.754,43,94,720,1278
monkeyeating,29,00:00:01,monkey,0.781,43,92,720,1279
monkeyeating,30,00:00:01,monkey,0.737,42,92,720,1278
monkeyeating,31,00:00:01,monkey,0.718,48,93,646,1280
monkeyeating,31,00:00:01,monkey,0.633,26,110,562,1100
monkeyeating,32,00:00:01,monkey,0.734,51,95,663,1280
monkeyeating,33,00:00:01,monkey,0.735,42,96,720,1280
monkeyeating,34,00:00:01,monkey,0.742,43,94,720,1280
monkeyeating,35,00:00:01,monkey,0.78,48,97,720,1280
monkeyeating,36,00:00:01,monkey,0.734,59,96,720,1280
monkeyeating,37,00:00:01,monkey,0.757,53,99,720,1280
monkeyeating,38,00:00:01,monkey,0.736,50,97,720,1280
monkeyeating,38,00:00:01,monkey,0.553,55,113,575,1079
monkeyeating,39,00:00:01,monkey,0.749,48,100,720,1280
monkeyeating,39,00:00:01,monkey,0.597,53,118,572,1074
monkeyeating,40,00:00:01,monkey,0.811,47,102,720,1273
monkeyeating,41,00:00:01,monkey,0.83,46,103,720,1276
monkeyeating,42,00:00:01,monkey,0.834,46,104,720,1275
monkeyeating,43,00:00:01,monkey,0.788,47,99,720,1280
monkeyeating,43,00:00:01,monkey,0.59,50,125,610,1090
monkeyeating,44,00:00:01,monkey,0.781,44,103,720,1279
monkeyeating,44,00:00:01,monkey,0.553,50,126,611,1100
monkeyeating,45,00:00:01,monkey,0.78,43,104,720,1280
monkeyeating,45,00:00:01,monkey,0.555,48,127,613,1111
monkeyeating,46,00:00:01,monkey,0.799,43,104,720,1280
monkeyeating,47,00:00:01,monkey,0.774,41,102,720,1280
monkeyeating,48,00:00:01,monkey,0.743,41,105,720,1277
monkeyeating,48,00:00:01,monkey,0.607,47,125,593,1112
monkeyeating,49,00:00:01,monkey,0.785,41,95,720,1279
monkeyeating,49,00:00:01,monkey,0.631,46,120,595,1119
monkeyeating,50,00:00:02,monkey,0.753,40,91,720,1279
monkeyeating,50,00:00:02,monkey,0.614,47,118,575,1130
monkeyeating,51,00:00:02,monkey,0.783,40,99,720,1280
monkeyeating,51,00:00:02,monkey,0.579,43,127,606,1092
monkeyeating,52,00:00:02,monkey,0.793,39,104,720,1280
monkeyeating,52,00:00:02,monkey,0.603,43,131,602,1087
monkeyeating,53,00:00:02,monkey,0.775,38,102,720,1280
monkeyeating,53,00:00:02,monkey,0.599,43,120,608,1099
monkeyeating,54,00:00:02,monkey,0.722,41,97,711,1280
monkeyeating,54,00:00:02,monkey,0.619,49,116,611,1067
monkeyeating,55,00:00:02,monkey,0.719,42,93,720,1280
monkeyeating,55,00:00:02,monkey,0.597,49,111,624,1073
monkeyeating,56,00:00:02,monkey,0.67,43,90,720,1280
monkeyeating,56,00:00:02,monkey,0.615,49,110,629,998
monkeyeating,57,00:00:02,monkey,0.638,43,97,710,1280
monkeyeating,57,00:00:02,monkey,0.604,48,113,631,1027
monkeyeating,58,00:00:02,monkey,0.655,42,87,720,1280
monkeyeating,58,00:00:02,monkey,0.522,47,105,647,1077
monkeyeating,59,00:00:02,monkey,0.656,43,85,720,1280
monkeyeating,60,00:00:02,monkey,0.608,41,71,720,1280
monkeyeating,61,00:00:02,monkey,0.643,40,83,720,1280
monkeyeating,62,00:00:02,monkey,0.651,39,80,720,1280
monkeyeating,63,00:00:02,monkey,0.665,30,66,720,1280
monkeyeating,64,00:00:02,monkey,0.683,31,76,720,1280
monkeyeating,65,00:00:02,monkey,0.682,28,73,720,1280
monkeyeating,66,00:00:02,monkey,0.647,45,81,687,1267
monkeyeating,67,00:00:02,monkey,0.626,38,92,720,1280
monkeyeating,68,00:00:02,monkey,0.656,35,89,720,1280
monkeyeating,69,00:00:02,monkey,0.693,35,88,720,1280
monkeyeating,70,00:00:02,monkey,0.665,36,86,720,1280
monkeyeating,71,00:00:02,monkey,0.657,35,86,720,1280
monkeyeating,72,00:00:02,monkey,0.654,37,75,720,1280
monkeyeating,73,00:00:02,monkey,0.672,39,69,720,1280
monkeyeating,74,00:00:02,monkey,0.656,38,60,720,1280
monkeyeating,75,00:00:03,monkey,0.703,37,56,720,1280
monkeyeating,76,00:00:03,monkey,0.722,38,51,720,1280
monkeyeating,77,00:00:03,monkey,0.701,39,51,720,1279
monkeyeating,78,00:00:03,monkey,0.706,40,44,720,1278
monkeyeating,79,00:00:03,monkey,0.702,40,47,720,1279
monkeyeating,80,00:00:03,monkey,0.75,40,58,720,1280
monkeyeating,81,00:00:03,monkey,0.725,39,69,720,1280
monkeyeating,82,00:00:03,monkey,0.741,39,76,720,1280
monkeyeating,82,00:00:03,monkey,0.502,45,94,603,1103
monkeyeating,83,00:00:03,monkey,0.732,39,85,720,1280
monkeyeating,84,00:00:03,monkey,0.751,39,85,720,1279
monkeyeating,85,00:00:03,monkey,0.737,39,86,720,1279
monkeyeating,86,00:00:03,monkey,0.743,38,83,720,1280
monkeyeating,87,00:00:03,monkey,0.713,40,90,720,1280
monkeyeating,88,00:00:03,monkey,0.713,40,87,720,1280
monkeyeating,89,00:00:03,monkey,0.723,39,84,720,1280
monkeyeating,90,00:00:03,monkey,0.709,40,86,719,1280
monkeyeating,90,00:00:03,monkey,0.522,48,108,598,1051
monkeyeating,91,00:00:03,monkey,0.736,39,85,720,1280
monkeyeating,92,00:00:03,monkey,0.711,40,93,720,1280
monkeyeating,93,00:00:03,monkey,0.718,42,97,720,1280
monkeyeating,94,00:00:03,monkey,0.733,41,102,720,1280
monkeyeating,95,00:00:03,monkey,0.727,41,104,720,1280
monkeyeating,96,00:00:03,monkey,0.686,42,95,694,1280
monkeyeating,97,00:00:03,monkey,0.693,42,99,714,1280
monkeyeating,98,00:00:03,monkey,0.741,43,89,719,1280
monkeyeating,99,00:00:03,monkey,0.736,40,87,718,1280
monkeyeating,100,00:00:04,monkey,0.733,40,88,715,1280
monkeyeating,101,00:00:04,monkey,0.749,40,90,713,1280
monkeyeating,102,00:00:04,monkey,0.728,43,91,710,1279
monkeyeating,103,00:00:04,monkey,0.695,45,89,714,1280
monkeyeating,104,00:00:04,monkey,0.731,47,92,713,1280
monkeyeating,105,00:00:04,monkey,0.743,47,94,714,1280
monkeyeating,106,00:00:04,monkey,0.749,48,101,720,1280
monkeyeating,107,00:00:04,monkey,0.76,46,113,720,1280
monkeyeating,108,00:00:04,monkey,0.74,45,114,720,1280
monkeyeating,109,00:00:04,monkey,0.75,45,126,720,1280
monkeyeating,110,00:00:04,monkey,0.708,42,119,720,1280
monkeyeating,111,00:00:04,monkey,0.695,42,104,717,1280
monkeyeating,111,00:00:04,monkey,0.579,46,131,596,971
monkeyeating,112,00:00:04,monkey,0.682,39,96,698,1280
monkeyeating,112,00:00:04,monkey,0.571,42,121,565,1012
monkeyeating,113,00:00:04,monkey,0.678,42,94,612,969
monkeyeating,114,00:00:04,monkey,0.667,48,104,559,980
monkeyeating,114,00:00:04,monkey,0.509,39,99,695,1264
monkeyeating,115,00:00:04,monkey,0.66,51,104,553,1094
monkeyeating,115,00:00:04,monkey,0.511,40,99,693,1274
monkeyeating,116,00:00:04,monkey,0.654,50,110,566,1117
monkeyeating,116,00:00:04,monkey,0.53,40,100,691,1278
monkeyeating,117,00:00:04,monkey,0.658,50,133,565,1032
monkeyeating,117,00:00:04,monkey,0.618,40,112,693,1272
monkeyeating,118,00:00:04,monkey,0.643,49,127,586,1140
monkeyeating,118,00:00:04,monkey,0.61,40,106,708,1276
monkeyeating,119,00:00:04,monkey,0.677,51,118,589,905
monkeyeating,119,00:00:04,monkey,0.649,46,117,629,1252
monkeyeating,120,00:00:04,monkey,0.646,40,105,656,1057
monkeyeating,121,00:00:04,monkey,0.686,44,107,690,1280
monkeyeating,121,00:00:04,monkey,0.657,49,115,606,1064
monkeyeating,122,00:00:04,monkey,0.713,51,114,591,939
monkeyeating,123,00:00:04,monkey,0.657,40,127,617,950
monkeyeating,124,00:00:04,monkey,0.625,37,131,630,1189
monkeyeating,125,00:00:05,monkey,0.649,31,120,710,1280
monkeyeating,126,00:00:05,monkey,0.661,33,111,666,1274
monkeyeating,127,00:00:05,monkey,0.68,33,108,676,1248
monkeyeating,128,00:00:05,monkey,0.66,29,127,720,1280
monkeyeating,129,00:00:05,monkey,0.646,31,131,720,1278
monkeyeating,130,00:00:05,monkey,0.605,31,122,658,1071
monkeyeating,131,00:00:05,monkey,0.602,27,111,690,1262
monkeyeating,131,00:00:05,monkey,0.558,31,116,641,969
monkeyeating,132,00:00:05,monkey,0.61,30,112,720,1280
monkeyeating,133,00:00:05,monkey,0.638,31,108,687,1219
